parent_asin,title,avg_rating,review_count,camera_sentiment,camera_mentions,battery_sentiment,battery_mentions,display_sentiment,display_mentions,performance_sentiment,performance_mentions,build_sentiment,build_mentions,storage_sentiment,storage_mentions,price,rating_number,camera_sentiment_roberta,battery_sentiment_roberta,display_sentiment_roberta,performance_sentiment_roberta,build_sentiment_roberta,storage_sentiment_roberta,camera_mentions_roberta,battery_mentions_roberta,display_mentions_roberta,performance_mentions_roberta,build_mentions_roberta,storage_mentions_roberta
B0C7R9B8JH,"HiBoost Cell Phone Booster for RV | High Power RV Booster Kit | 4G & 5G LTE | Signal Booster for Camping Camper Trailer for All U.S.Carriers Verizon, AT&T, T-Mobile Adjustable Antenna, FCC Approved",4.24,50,0.278611111,1,0.166866642,5,0.131331004,4,0.187716612,8,0.202953372,11,-0.097222222,1,559.99,128,-0.014730531,0.018499802,0.024223613,0.061201499,-0.02636065,0.002062324,1,5,5,6,11,1
B097M71WR1,"Apple iPhone 11 Pro, 64GB, Midnight Green - Unlocked (Renewed)",3.677742194,2498,0.230253698,184,0.233514487,649,0.159548212,378,0.291822653,162,0.250766083,100,0.215001131,90,378.18,18003,0.014360966,0.066432584,-0.004841834,0.022798848,0.049593759,0.01504563,180,660,400,136,279,89
B08L97BW9J,"Apple iPhone XR, US Version, 64GB, Black - AT&T (Renewed)",4.164080085,8441,0.286523177,536,0.291813561,2068,0.236345473,1249,0.324372563,628,0.357775131,572,0.262471917,261,226,58618,0.021892461,0.102213757,0.040196399,0.035767588,0.085949431,0.014512683,525,2111,1354,521,1164,259
B004XZHY34,"Jabra 100-46000000-02 Freeway Bluetooth In-Car Speakerphone (U.S. Retail Packaging),Black",3.717397223,3673,0.152131435,19,0.238179874,655,0.208918774,16,0.265112436,198,0.250775138,688,0.261721379,9,129.95,6628,-0.000210226,0.051732968,0.000378842,0.007067802,0.022705616,0.000620648,16,680,16,141,283,9
B0BR74F1YQ,"SureCall Fusion4Home Cell Phone Signal Booster up to 3000 sq ft, Boosts 5G/4G LTE, Yagi Outdoor Antenna, Home & Office Multi-User All Carrier, Verizon AT&T Sprint T-Mobile, FCC Approved, USA Company",3.837307153,713,0.152332078,19,0.130109315,61,0.17609819,38,0.184729395,103,0.162396404,86,0.143325993,7,297.77,449,0.002257982,0.010806264,-0.005114937,0.033532521,0.017940838,0.000296492,16,55,15,91,77,7
B07BHGD33F,Essential Phone in Halo Gray – 128 GB Unlocked Titanium and Ceramic phone with Edge-to-Edge Display,3.913539192,2105,0.233386814,860,0.210934414,559,0.207263363,699,0.253530445,711,0.259730847,720,0.229598861,244,349.99,2849,0.108782935,0.092956766,0.106904736,0.165954464,0.222984029,0.046013722,855,596,824,736,865,245
B08Z7X663F,"LG K92 5G (AT&T Unlocked) LM-K920AM 6.7"" 64MP GSM Smartphone Titan Gray Not for CDMA",4.181818182,22,0.155166667,5,0.201024531,4,0.319273088,2,0.271666667,2,0.533928571,2,-0.166143579,2,158.99,111,0.151369956,-0.05366098,0.042470511,-0.012465907,0.044566659,0.036134515,5,5,2,3,1,2
B09CJ45TV7,"weBoost Destination RV - Cell Phone Signal Booster for Stationary Use | Boosts 5G & 4G LTE for All U.S. & Canadian Carriers - Verizon, AT&T, T-Mobile, more | Made in the U.S. | FCC Approved (470159)",3.986725664,226,0.115177243,10,0.214083772,22,0.248484848,1,0.236830301,44,0.157604105,40,0.140134067,3,649.99,726,0.031512039,0.02665476,0.003198656,0.050784831,0.002046,0.004636565,14,22,2,45,25,3
B09CX3TS9W,"weBoost Home Studio Lite - Cell Phone Signal Booster for Verizon and AT&T only | Boosts 5G, 4G LTE up to 1,500 sq. ft | Made in the U.S. | FCC Approved (model 471101)",3.277108434,83,0.087858738,3,0.142946856,4,0,0,0.111130982,8,0.275468823,7,0.163851852,2,159.99,1095,0.022794987,0.012603729,0,0.006332054,0.006024783,0.003509248,3,3,0,5,6,2
B0B78FRH3B,"Courant Catch:2 Classics - Italian Leather Dual Wireless Charging Pad - Qi-Certified - Compatible with iPhone 11, X, SE, Galaxy S23, S22, S21, S20, Note, AirPods, AirPods Pro (Ash)",2.753623188,69,0.158283605,2,0.163266414,49,0,0,0.288034089,10,0.189827084,10,0.11462585,1,119.99,199,-0.006468924,0.009060361,0.013335721,0.044795237,0.146049782,-0.01241785,2,54,1,7,24,1
B08Z4K5L2F,Google Pixel 4a with 5G - Android Phone - New Unlocked Smartphone with Night Sight and Ultrawide Lens - Just Black,3.490291262,412,0.243008041,149,0.246821862,142,0.176623528,90,0.235374165,82,0.199430402,47,0.202678697,21,359.95,2843,0.163455028,0.09372497,0.043956876,0.052884087,0.025693515,0.017099613,149,151,169,87,64,21
B08L9SG331,"weBoost Drive Reach RV - Cell Phone Signal Booster kit | Boosts 4G LTE & 5G for All U.S. Carriers - Verizon, AT&T, T-Mobile & more | Made in the U.S. | FCC Approved (model 470354)",3.38559322,236,-0.027380952,1,0.180374271,30,0.105743056,4,0.159566271,36,0.184444338,29,0.140454473,5,519.98,1084,0.006737336,-0.019206834,0.003205063,0.017715596,-0.0001196,-0.002856082,3,30,2,32,23,5
B07RFTRFPZ,Oculus Go Standalone Virtual Reality Headset - 32GB,3.925593904,2231,0.158785755,255,0.162308557,486,0.150196818,332,0.202374761,198,0.208438864,256,0.1783043,170,197.95,8030,0.000717213,-0.013137364,0.020051461,0.00745083,0.036821535,0.016105336,251,482,340,158,368,169
B093275JHT,Samsung Galaxy A71 (5G) 128GB (6.7 inch) Display Quad Camera 64MP A716U Smartphone - Black - T-Mobile Locked - (Renewed),4.216216216,74,0.468149368,9,0.416614775,22,0.294137222,9,0.342130241,15,0.371363937,6,0.202568404,6,174.95,360,0.089848916,0.129948511,0.075816085,0.096670502,0.025768528,0.053607276,9,23,10,16,11,6
B01G9O6MYS,Fine Point Active Stylus Pen for iPad - Apex Fusion (Black),3.436170213,94,0.20512858,7,0.161598958,38,0.175304358,18,0.190210386,14,0.317059848,8,0,0,128.95,168,0.032175034,0.080496143,0.060166998,0.029349172,0.202014762,0,7,40,21,15,37,0
B00KBS4VZQ,"Samsung Galaxy S5 SM-G900H Unlocked Cellphone, International Version, 16GB, Blue",4.034987795,1229,0.306667209,83,0.140941507,124,0.151430942,90,0.290193195,96,0.258033912,39,0.15247875,23,295.99,1548,0.029510631,-0.010611608,0.005044632,0.024536407,0.008993831,0.004551911,83,125,95,95,71,23
B01610F3KY,LG Transpyre (Verizon LTE Prepaid),4.194029851,67,0.160890558,2,0.175403928,12,0.191706488,8,0.234722325,11,0.125363757,1,0.233116562,6,199.99,90,0.023828962,0.093208816,0.029285853,0.03551955,0.037850248,0.033681994,2,12,8,9,9,6
B081Z6ZVD4,"LG K40 Factory Unlocked Phone - 5.7"" Screen - Platinum (U.S. Warranty)",2.774647887,71,-0.036904762,7,0.129861111,2,0.049404762,6,0.23016369,5,0.120251068,4,0.12748372,9,249.99,14,0.024235015,0.017841678,-0.012083199,0.002433888,-0.014147996,0.027634723,7,2,6,8,4,9
B09KDNT2P4,Samsung Galaxy S20 FE 5G 128GB Blue VZ,3.330882353,136,0.209685832,10,0.079976853,30,0.151532802,16,0.268968647,19,-0.185704985,4,0.226925543,6,189.99,486,0.001900665,-0.013758515,-0.025760378,0.018207641,0.067413234,0.026600475,10,30,18,15,19,6
B0C8HF4TB9,"Becky Cell Signal Booster for All Carriers - Verizon, AT&T, T-Mobile & More | Up to 5,500 Sq Ft | Boost 4G LTE & 5G Signal on Band 2/4/5/12/13/17/25/66 | FCC Approved Cell Phone Signal Booster",4.875,24,0,0,0,0,0,0,0.510185185,3,0.356845238,2,0,0,225,79,0,0,0.018997574,0.057723422,0.094931629,0,0,0,1,2,3,0
B08ZWJXK1Q,"Apple iPhone XS Max, US Version, 256GB, Gold - AT&T (Renewed)",4.039868204,3035,0.228342235,169,0.272596244,808,0.191793348,492,0.329703588,213,0.342451356,134,0.287203351,149,284.99,14650,0.013086857,0.115393888,0.019168474,0.030160146,0.094074366,0.027137145,163,824,506,181,461,148
B09HFW8GRB,"Samsung Galaxy S20 5G, 128GB, Cloud Blue - T-Mobile (Renewed)",3.741251326,943,0.289524371,91,0.239441418,214,0.215490916,132,0.284844398,117,0.329836184,53,0.249112674,59,219.63,4949,0.043448581,0.045878246,0.020377486,0.054427503,0.089832197,0.014820962,90,231,142,104,144,59
B00MU042H0,LG 840G Prepaid Phone with Triple Minutes (Tracfone) (White),4.061740891,1976,0.249964411,250,0.214598341,292,0.231879671,380,0.250598125,129,0.269320737,151,0.210323573,76,129.99,2581,0.053033156,0.042454636,0.071353101,0.015719692,0.052613545,0.011586458,246,294,400,126,255,76
B07QCW6J22,"Samsung Galaxy Note 9, 512GB, Cloud Silver - Unlocked (Renewed)",4.125,8,0.078439153,2,0.264814815,1,0,0,0.264814815,1,0,0,0.328619529,2,289,30,0.017950394,0.071916949,0.103402469,0.108754259,-0.045152711,0.238932232,2,1,1,1,3,2
B089YPKMS6,Samsung Galaxy S10e Factory Unlocked Android Cell Phone | US Version | 128GB of Storage | Fingerprint ID and Facial Recognition | Long-Lasting Battery | Flamingo Pink,3.959276018,221,0.251085105,37,0.234730185,47,0.146732343,41,0.25287661,36,0.296655526,18,0.239888193,11,339.98,174,0.081605443,0.081073229,0.016601231,0.085902241,0.037143075,0.034644729,37,49,44,39,31,11
B08D969C67,"Apple iPhone X, US Version, 256GB, Silver - AT&T (Renewed)",3.56978511,4607,0.187005761,210,0.202146355,1280,0.12067021,921,0.278316193,323,0.275536413,231,0.23874064,166,264,23128,0.000968304,0.027456389,-0.027663646,0.021064839,0.061012874,0.011942366,210,1310,936,265,539,167
B09JJCXC2M,"Samsung Galaxy S10e, 256GB, Prism Black - T-Mobile (Renewed)",3.92748538,2565,0.273554167,236,0.230008384,673,0.233954564,296,0.277745807,360,0.297152594,139,0.260411538,125,176.87,12397,0.039093226,0.04385135,0.030180693,0.054168232,0.09366177,0.021767829,230,699,324,283,387,125
B09YVPPMLG,"Halo Automotive Bolt Air 58830 mWh Portable Emergency Power Kit with Tire Pump, 4 Interchangeable Air Nozzles, Extra Accessory Kit, Car Jump Starter, and Car Charger - Camouflage",4.325301205,664,0.137504202,9,0.220407461,307,0.114107781,10,0.226695076,40,0.185028594,24,0.180738783,17,129.99,5185,0.003324465,0.114186482,0.001889715,0.011377066,0.03558599,0.011144654,8,311,12,31,55,17
B08F8RG5ML,AxisGO iPhone 11 Pro Max/iPhone Xs Max Waterproof Phone Housing for Underwater Action Photography Snorkeling Surfing Travel Case - Ocean Blue,4.5,4,0,0,0,0,-0.15625,1,0,0,0,0,0,0,169,17,0,0,0.221759847,0,0,0,0,0,1,0,0,0
B092HBGT6S,Google Pixel 4a 5G Just Black,3,4,0,0,0,0,0,0,0,0,0,0,0,0,379.99,6,0,0,0,0,0,0,0,0,0,0,0,0
B08SQCZY15,"Unlocked Smartphones Ulefone Note 11P, 8GB+128GB Android 11 Unlocked Cell phones, 48MP Quad Rear Camera, 3 Card Slots, 6.55"" Punch Hole Screen Dual 4G Unlocked Phone, 4500mAh, Global Bands, US Version",3.400537634,372,0.190870253,71,0.184004159,65,0.11476443,77,0.276222025,55,0.243976012,41,0.291184268,30,129.99,1241,0.051643426,0.03295473,-0.002040708,0.050393048,0.043486437,0.032766034,69,74,88,49,54,30
B09DZZ2GM6,Motorola Moto G Fast | 2020 | Unlocked | Made for US 3/32GB | 16MP Camera | White & OtterBox Commuter LITE Series Case for Moto g Fast - Black,3.87390925,2292,0.233035498,585,0.232705071,1148,0.211373586,541,0.239032188,453,0.249133421,296,0.230397833,216,206.73,15,0.083005747,0.19848603,0.059814111,0.064851358,0.039303879,0.03697235,582,1164,579,483,306,217
B0B87YFRH8,"TCL 20 SE 6.82"" Unlocked Cellphone, 4GB RAM + 128GB ROM, US Version Android Smartphone 48MP AI Quad-Camera, 5000mAh Mobile Phone, Dual Speaker, OTG Reverse Charging, Android 11, Aurora Green",3.619895288,955,0.266023397,229,0.218572263,241,0.223871361,237,0.272833447,155,0.265655986,111,0.281757389,88,125.99,4236,0.120511958,0.092679669,0.072744622,0.066878162,0.072884109,0.048717336,229,254,253,179,152,88
B07BBRCH91,"Honor View10 GSM Unlocked Smartphone, AI Processor, 5.99” FullView Display, 20MP + 16MP Dual-Lens AI Camera, Dual SIM 4G, Fast Charging, 6/128 GB, Blue (US Warranty)",4.418604651,129,0.31435623,42,0.282637747,45,0.255105513,39,0.313567298,49,0.338144263,27,0.277402824,20,360.19,212,0.174786101,0.200315357,0.16759911,0.265764243,0.089171102,0.094626941,42,47,42,48,26,20
B078WL53WR,Huawei Mate 10 Porsche Design Factory Unlocked 256GB Android Smartphone Diamond Black,4.333333333,546,0.339723418,194,0.297594862,188,0.267148515,115,0.301813189,160,0.337082962,109,0.24131677,44,699.99,846,0.234675828,0.168617019,0.106213918,0.207507512,0.144499886,0.03840101,193,194,124,173,129,44
B09PPWVQSB,"SAMSUNG Galaxy S20 FE 5G Factory Unlocked Android Cell Phone 128GB US Version Smartphone Pro-Grade Camera 30X Space Zoom Night Mode, Cloud Red",3.738702202,1726,0.269083062,361,0.222838199,493,0.197738151,318,0.272422391,340,0.21207058,144,0.212538578,133,599.99,14110,0.106256509,0.057621797,0.029762097,0.083679031,0.023196849,0.027714477,360,518,375,340,205,132
B07RWPFQLM,Google - Pixel 3a with 64GB Memory Cell Phone (Unlocked) - Purple-ish,3.783505155,2134,0.335065848,840,0.264508889,652,0.215770545,437,0.295928914,433,0.257482901,311,0.251481483,128,148.97,8637,0.253388764,0.104563778,0.10042012,0.101650781,0.053690102,0.016157999,837,685,786,440,334,125
B0BTD5NSLJ,"Home Cell Phone Booster for All U.S. Carriers Verizon, AT&T, T Mobile, US Cellular GSM 3G/4G/5G CDMA LTE 700/850/1700/1900/2100Mhz Cellular Signal Booster Home Enhances Data and Voice FCC Approved",4.777777778,9,0,0,0,0,0,0,0,0,0,0,0,0,228.99,21,0,0,0,0,0,0,0,0,0,0,0,0
B00O5EQRS6,"HTC Desire 612, Black 8GB (Verizon Wireless)",4.0625,16,0.103166667,2,-0.074740741,3,0.103166667,2,0.360074074,3,0,0,-0.132944444,2,309.99,19,-0.004647524,0.004980376,0.077493437,0.120620234,0.059893336,0.015995517,2,3,2,2,1,2
B0BYSRY6CZ,"Anker 737 Power Bank (PowerCore 24K), 24,000mAh 3-Port Portable Charger with 140W Output, Smart Digital Display, Compatible with iPhone 14/13 Series, Samsung, MacBook, Dell, AirPods, and More",4.264305177,367,0.141600173,15,0.217635445,312,0.19980851,103,0.215101602,140,0.217921621,30,0.184141085,51,159.99,5240,0.001352241,0.338138215,0.15225958,0.191798099,0.037803109,0.063244361,14,323,103,126,74,51
B09J6ZXBWW,Google Pixel 6 – 5G Android Phone - Unlocked Smartphone with Wide and Ultrawide Lens - 128GB - Kinda Coral,3.237668161,223,0.202457418,79,0.16221645,78,0.154115419,57,0.200770577,53,0.145154628,33,0.122788626,18,579,168,0.134796026,0.030175833,0.09544707,0.043379761,0.055881215,0.014913741,78,84,116,64,47,18
B0B1HXF9ZQ,"UMIDIGI A13S (4GB+64GB) Unlocked Cell Phone, 6.7"" Ultra-Large Full Screen Smartphone with 5150mAh Battery + 16MP AI Dual Camera, Unlocked Android 11 Phone with Dual SIM (Global 4G LTE)",3.765363128,179,0.283187938,57,0.275010538,69,0.250652606,48,0.236391926,41,0.262126574,28,0.245787849,27,112.49,1161,0.17204874,0.159024102,0.094656294,0.124356772,0.191235773,0.054772228,57,71,50,50,49,27
B06Y3GYZKW,"SAMSUNG Galaxy S8, 5.8"" 64GB (Verizon Wireless) - Midnight Black",3.566037736,53,0.241198103,9,0.212993052,12,0.1579583,13,0.233846374,10,0.205724297,8,0.20045501,5,369.98,172,0.108773274,0.050342346,-0.013247644,0.054235009,0.014006581,0.046648981,9,12,13,7,11,5
B07TYGJ9TV,"weBoost Drive X RV - Cell Phone Signal Booster kit | Boosts 5G & 4G LTE for All U.S. & Canadian Carriers - Verizon, AT&T, T-Mobile, more | Made in the U.S. | FCC Approved (model 471410)",3.457711443,201,0.115880102,4,0.138144524,20,0.08974359,1,0.180990202,38,0.15631711,23,0.035955779,6,449.99,985,-0.001357758,-0.009209799,8.32E-05,0.036604939,0.002936377,-0.001693657,4,20,2,37,27,6
B08P7FLGL8,"Apple iPhone SE (2nd Generation), US Version, 128GB, Red for GSM (Renewed)",3.95088094,1873,0.233023049,105,0.251323273,647,0.201082801,297,0.282951606,209,0.262612832,112,0.24551948,106,156.15,10885,0.014594068,0.107186412,0.005534814,0.042680592,0.09845831,0.025501616,102,654,305,167,309,106
B08R6H1J5R,"OnePlus Nord N10 5G, Euro 5G /Global 4G LTE, International Version (No US Warranty), Midnight Ice 128GB, 6GB - GSM Unlocked (T-Mobile, AT&T, Metro) - 64GB SD Bundle",3.813084112,107,0.351370718,19,0.157552014,24,0.299223794,16,0.237648129,16,0.189121032,8,0.332058508,13,269.5,559,0.069611446,0.046848702,0.055446648,0.069566718,0.030237333,0.041835431,19,26,18,15,15,13
B0BV2ML5N2,"DOOGEE S89 PRO Rugged Smartphone(2022), 12000mAh Massive Battery Android 12 Rugged Phone Unlocked, 65W Fast Charging, 8GB+256GB IP68 Waterproof Cellphone, Night Vision, Breathing Light, NFC, Dual 4G",3.8125,16,0.493333333,2,0.245784139,6,0.232016995,3,0.313995726,3,0.324583333,2,0.324741462,1,379.99,54,0.076436566,0.175751104,0.10612038,0.146632453,0.053032251,0.038682729,2,6,4,3,3,1
B08R5B42R6,"LG G8 ThinQ LMG820TM (128GB, 6GB RAM) 6.1"" 4G LTE Android Smartphone (Carmine Red, T-Mobile Locked)",3.951219512,123,0.332026833,16,0.286311589,23,0.294729483,21,0.30675804,29,0.290128464,17,0.237129707,13,339.99,430,0.070507801,0.090123764,0.089263634,0.102409931,0.070075234,0.053300739,16,24,27,27,23,13
B09KW9M48M,"Apple iPhone 12, 128GB, Green - AT&T (Renewed)",3.659533074,1542,0.232469608,105,0.258175597,466,0.191324239,235,0.291374461,115,0.231795244,68,0.24113357,53,447.97,7860,0.005451968,0.087846753,0.003220619,0.023145546,0.057239259,0.012314317,104,475,247,90,187,53
B09WR9PH69,"Portable Laptop Charger, 31200 mAh High Capacity USB C Power Bank with 100W AC Outlet, Fast Charging External Battery Pack Compatible with MacBook, iPhone, Samsung, HP, Dell, Lenovo and More (N5)",3.930555556,72,0.135573081,4,0.154305762,63,0.175311791,1,0.153584164,15,0.180629141,10,0.208831549,16,109.99,260,-0.016537482,0.127523214,0.003072361,-0.029151608,0.121444918,0.081403383,4,65,3,12,23,16
B072BB91HG,"Samsung Galaxy S8 G950FD 64GB Midnight Black, Dual Sim, 5.8 inches, 4GB Ram, GSM Unlocked International Model, No Warranty",4.181818182,99,0.253586159,6,0.235332625,9,0.327839621,7,0.442575397,15,0.51202381,5,0.2025,2,299.99,226,0.033419748,-0.003459849,0.032422221,0.050044477,0.024468271,-0.006563574,6,10,7,13,8,2
B0BLSB1J94,"ZORIDA Cell Phone Signal Booster for Home and Office, Boosts All US Carriers 5G 4G LTE Signal Up to 4,000 sq ft for Verizon AT&T T-Mobile etc, Cell Phone Booster with LCD & APP FCC Approved",4.739583333,96,0.148432513,5,0.129725879,5,0.189341999,8,0.220189438,19,0.21386561,20,0.156164021,4,369.99,143,0.002676304,-0.00037638,-0.000643368,0.080279468,0.071859239,0.006425038,4,5,7,18,17,4
B09XQ8YXMF,"Zendure 100W Laptops Power Bank, 26800mAh USB C Portable Charger with Dual USB-C PD (100W&60W) & 2 USB-A (15W&QC3.0 18W) Battery Pack Compatible with iPhone, Huawei, MacBook Pros, ipad, Samsung, DJI",4.088235294,34,0.18400974,2,0.225209812,31,0.263147475,5,0.210463947,9,0.291053647,8,0.197459831,9,199.99,88,0.038417242,0.259263557,0.087219605,0.078061667,0.115285419,0.11540224,2,31,5,7,8,9
B00D3OK4RO,"BlackBerry Q10, Black 16GB (Verizon Wireless)",4.028985507,69,0.244597325,16,0.257341191,21,0.212349993,25,0.243988611,22,0.255164339,20,0.336687539,5,139,96,0.112640725,0.167646776,0.097836596,0.160942014,0.139247143,0.064353416,16,21,25,20,25,5
B0BSF2B7NT,"AGM H5 Pro Rugged Smartphone (2023 Upgraded), Rugged Phone, Rugged Smartphone Unlocked 109dB Loudest Speaker 7000mAh Battery, 6.52"" HD Screen 8G+128G Outdoor Smartphone Dual SIM Android 12 IP68/IP69K",3.909090909,11,0.164124839,7,0.069454365,5,0.15014881,5,0.192857143,1,0.227166005,3,0.15218254,2,319.99,80,0.203932287,0.008822932,0.038021752,0.023277249,0.220826098,-0.020646693,7,5,5,1,4,2
B097TH8JW5,"Amazboost Cell Phone Signal Booster Kit,Suitable for All U.S. Carriers -Compatible with Verizon,AT&T, T-Mobile, Sprint & More,Cell Phone Booster for Home Up to 1,500 sq ft,Signal Booster",4.043956044,91,0.153131313,2,0.093351986,7,0,0,0.289665614,14,0.268720416,9,0,0,119.99,387,0.009637488,0.010275338,0,0.040007966,-0.007271373,0,2,7,0,14,7,0
B09NVVKDPD,"Portable Power Bank with AC Outlet, 146Wh/39600mAh 110V/100W Laptop Charger Battery Backup, External Battery Pack Power Supply for Home Emergency Outage, Outdoor Camping RV Trip Adventure-Grey",3.846153846,208,0.299682907,7,0.204869748,160,0.29161433,26,0.228304961,40,0.230851915,17,0.214928906,19,109.99,1059,0.02469427,0.189011038,0.021857774,0.038429608,0.083558871,0.023504119,7,164,11,23,40,19
B08Z4JTDVN,Google Pixel 4a - Unlocked Android Smartphone - 128 GB of Storage - Up to 24 Hour Battery - Barely Blue,3.741678726,1382,0.296800864,486,0.235620595,464,0.170690705,349,0.271456234,314,0.230212646,150,0.263263059,101,459,10451,0.206229904,0.096603688,0.079165337,0.116808411,0.034427628,0.040882047,483,503,568,311,238,101
B0B1HCFMZW,"FeiyuTech Vimble 3 [Official] 3-Axis Gimbal Stabilizer for Smartphone,7.8''Extend,Dial Ring Designed,Face/Object Track,fits iPhone14 13 pro/max Samsung Android Cellphone Vlog,YouTube TikTok,Tripod",3.766233766,77,0.196924559,29,0.212350113,21,0.161390285,3,0.200784162,8,0.213287629,24,0.1075,1,119,299,0.063883298,0.073281512,0.007566275,0.125455248,0.12552949,0,33,22,6,16,30,0
B08SXRTNMS,"Samsung Galaxy S21 5G | Factory Unlocked Android Cell Phone | US Version 5G Smartphone | Pro-Grade Camera, 8K Video, 64MP High Res | 128GB, Phantom Pink (SM-G991UZIAXAA)",3.598669623,451,0.291650615,110,0.193346618,156,0.206939363,73,0.257281116,72,0.290887602,46,0.129082432,29,427.67,496,0.114468442,0.017178702,0.040550579,0.060981939,0.02575566,-0.003828521,108,163,101,69,48,29
B07711VGB1,Samsung Gear VR w/Controller - US Version - Discontinued by Manufacturer,3.80625,480,0.117877746,46,0.165563146,32,0.148740534,48,0.216002387,27,0.239221163,40,0.186855541,9,101.01,992,-0.002329486,0.003348238,0.005122501,-0.000120517,0.024082351,0.007041435,46,28,46,23,47,9
B0BNM89BY3,"AGM M7 Rugged Phone, IP68 Waterproof Outdoor Phone, 2500mAh Battery Unlocked 4G Cell Phone for Seniors Dual SIM Biggest Speaker 2.4"" Touch Screen 1GB+8GB Facebook/Skype/TikTok-Black",3.242857143,70,0.18036415,5,0.156456149,16,0.146872335,19,0.185473299,6,0.167297231,10,0.157392092,6,119.99,197,-0.000543117,0.10991049,0.072985329,-0.014000806,-0.004599613,0.025881651,4,18,19,8,18,6
B089844ZDG,"Belkin 3-in-1 Wireless Charger - Fast Wireless Charging Stand for Apple iPhone, Apple Watch & AirPods - iPhone Case Compatible Qi Charger - Wireless Charging Station For Multiple Devices - White",3.395415473,349,0.019150641,4,0.198244685,232,0.196840729,5,0.231706604,29,0.223648045,45,0.19218265,15,109.95,2953,3.85E-05,0.111485527,-0.000788132,0.036086257,0.092643197,0.008596505,3,258,6,29,78,15
